Time,HR,BR,SkinTemp,Posture,Activity,PeakAccel,BatteryVolts,BatteryLevel,BRAmplitude,BRNoise,BRConfidence,ECGAmplitude,ECGNoise,HRConfidence,HRV,SystemConfidence,GSR,ROGState,ROGTime,VerticalMin,VerticalPeak,LateralMin,LateralPeak,SagittalMin,SagittalPeak,DeviceTemp,StatusInfo,LinkQuality,RSSI,TxPower,CoreTemp,AuxADC1,AuxADC2,AuxADC3
30/06/2018 10:30:37.448,65,10.0,-3276.8,79,0.50,0.73,4.169,94,0.000,65535.000,0,0.000000,0.000000,0,65535,0,65535,3,2,-0.46,0.51,0.45,1.36,-0.54,0.54,22.0,688,255,-128,-128,6553.5,414,420,497
30/06/2018 10:30:38.448,65,10.0,-3276.8,-79,0.43,0.73,4.169,94,0.000,65535.000,0,0.000000,0.000000,0,65535,0,65535,3,3,-0.38,0.12,0.60,1.50,0.22,0.69,22.0,688,255,-128,-128,6553.5,407,411,489
30/06/2018 10:30:39.448,65,10.0,-3276.8,-61,0.75,1.63,4.168,94,0.000,65535.000,0,0.000000,0.000000,0,65535,0,65535,3,4,-1.49,0.34,-1.12,1.14,-0.31,0.49,22.0,688,255,-128,-128,6553.5,414,421,499
30/06/2018 10:30:40.448,65,10.0,-3276.8,-6,1.02,1.66,4.167,94,0.000,65535.000,0,0.000000,0.000000,0,65535,0,65535,1,0,-0.75,0.00,-1.15,-0.27,-0.13,0.19,22.0,688,255,-128,-128,6553.5,414,421,499
30/06/2018 10:30:41.448,65,10.0,-3276.8,7,0.51,1.08,4.167,94,0.000,65535.000,0,0.000000,0.000000,0,65535,0,65535,1,1,-1.46,-0.42,-0.59,0.26,-0.40,0.20,22.0,688,255,-128,-128,6553.5,414,421,498
30/06/2018 10:30:42.448,65,10.0,-3276.8,12,0.36,0.61,4.167,94,65356.000,65535.000,0,0.000000,0.000040,0,65535,0,65535,1,2,-1.28,-0.53,-0.59,0.12,-0.30,0.32,22.0,688,255,-128,-128,6553.5,413,421,499
30/06/2018 10:30:43.448,65,10.0,-3276.8,-19,0.40,0.92,4.167,94,58116.000,65535.000,0,0.000540,0.000040,0,65535,0,65535,1,3,-1.24,-0.36,-1.12,0.25,-0.08,0.53,22.0,688,255,-128,-128,6553.5,414,420,499
30/06/2018 10:30:44.448,65,10.0,-3276.8,-38,0.51,0.66,4.161,93,48652.000,65535.000,0,0.000540,0.000020,0,65535,0,65535,1,4,-1.00,-0.28,-0.93,-0.31,0.22,0.80,22.0,688,255,-128,-128,6553.5,416,423,499
30/06/2018 10:30:45.448,65,10.0,-3276.8,-30,0.63,3.71,4.157,92,38989.000,65535.000,0,0.000080,0.000040,0,65535,0,65535,1,5,-1.02,3.81,-0.66,3.34,-0.36,1.66,22.0,688,255,-128,-128,6553.5,414,420,498
30/06/2018 10:30:46.448,65,10.0,-3276.8,-43,1.01,1.90,4.157,92,29957.000,65535.000,0,0.000080,0.000020,0,65535,0,65535,1,6,-0.43,0.14,0.69,2.49,-0.44,0.04,22.0,688,255,-128,-128,6553.5,414,422,498
30/06/2018 10:30:47.448,0,10.0,-3276.8,66,0.55,0.79,4.157,92,22940.000,65535.000,11,0.000800,0.000020,0,65535,0,65535,1,7,-0.45,-0.08,0.71,1.31,-0.54,-0.10,22.0,688,255,-128,-128,6553.5,415,422,498
30/06/2018 10:30:48.448,0,10.0,-3276.8,66,0.36,0.69,4.157,92,19129.000,65535.000,11,0.000800,0.000020,0,65535,0,65535,3,0,-0.71,-0.16,0.36,1.01,-0.95,-0.03,22.0,688,255,-128,-128,6553.5,414,421,498
30/06/2018 10:30:49.448,0,10.0,-3276.8,75,0.43,0.59,4.157,92,14990.000,65535.000,11,0.000800,0.000020,0,65535,0,65535,3,1,-0.40,0.20,0.31,1.10,-0.93,-0.50,22.0,688,255,-128,-128,6553.5,414,420,498
30/06/2018 10:30:50.448,0,10.0,-3276.8,79,0.31,0.53,4.157,92,16963.000,65535.000,11,0.000800,0.000020,0,65535,0,65535,3,2,-0.33,0.15,0.34,1.09,-0.97,-0.36,22.0,688,255,-128,-128,6553.5,415,422,499
