"Participant_ID","Group","Treatment","PP","EDA","BR","Chest_HR","Wrist_HR","RR","KeyStroke","ReportEmail","ReportPerformance"
"T112","BL","PM",1,1,1,1,1,1,NA,NA,NA
"T112","BL","DT",1,-1,1,1,1,1,1,1,1
"T112","BL","PR",1,1,1,1,1,1,NA,NA,NA
"T113","BL","RB",1,-1,1,1,1,1,NA,NA,NA
"T113","BL","ST",1,-1,1,1,1,1,1,1,1
"T113","BL","PM",-1,-1,1,1,1,1,NA,NA,NA
"T113","BL","DT",1,-1,-1,1,1,1,1,1,1
"T113","BL","PR",1,-1,1,1,1,1,NA,NA,NA
"T114","BL","RB",1,1,1,1,1,1,NA,NA,NA
"T114","BL","ST",1,1,1,1,1,1,1,1,1
"T114","BL","PM",1,1,1,1,1,1,NA,NA,NA
"T114","BL","DT",1,1,1,1,1,1,1,1,1
"T114","BL","PR",1,1,1,1,-1,1,NA,NA,NA
"T121","CH","RB",1,0,1,1,0,1,NA,NA,NA
"T121","CH","ST",1,0,1,1,0,1,1,1,1
"T121","CH","PM",1,0,1,1,0,1,NA,NA,NA
"T121","CH","DT",1,0,1,1,0,1,1,1,1
"T121","CH","PR",1,0,1,1,0,1,NA,NA,NA
"T122","CH","RB",1,0,1,1,0,1,NA,NA,NA
"T122","CH","ST",1,0,1,1,0,1,0,1,1
"T122","CH","PM",1,0,1,1,0,1,NA,NA,NA
"T122","CH","DT",1,0,1,1,0,1,0,1,1
"T122","CH","PR",1,0,1,1,0,1,NA,NA,NA
"T124","CH","RB",1,0,1,1,0,1,NA,NA,NA
"T124","CH","ST",1,0,1,1,0,1,0,1,1
"T124","CH","PM",1,0,1,1,0,1,NA,NA,NA
"T124","CH","DT",1,0,1,1,0,1,0,1,1
"T124","CH","PR",1,0,1,1,0,1,NA,NA,NA
"T126","CH","RB",1,0,1,-1,0,0,NA,NA,NA
"T126","CH","ST",1,0,1,-1,0,0,1,1,1
"T126","CH","PM",1,0,1,-1,0,0,NA,NA,NA
"T126","CH","DT",1,0,1,-1,0,0,1,1,1
"T126","CH","PR",1,0,1,-1,0,0,NA,NA,NA
"T128","CH","RB",1,0,1,1,0,1,NA,NA,NA
"T128","CH","ST",1,0,1,1,0,1,1,1,1
"T128","CH","PM",1,0,1,1,0,1,NA,NA,NA
"T128","CH","DT",1,0,1,1,0,1,1,1,1
"T128","CH","PR",1,0,1,-1,0,-1,NA,NA,NA
"T130","CH","RB",1,1,1,-1,1,0,NA,NA,NA
"T130","CH","ST",1,1,1,-1,1,0,1,1,1
"T130","CH","PM",1,1,1,-1,1,0,NA,NA,NA
"T130","CH","DT",1,1,1,-1,1,0,1,1,1
"T130","CH","PR",1,1,1,-1,1,0,NA,NA,NA
"T132","CH","RB",1,1,1,1,1,1,NA,NA,NA
"T132","CH","ST",1,1,1,1,1,1,1,1,1
"T132","CH","PM",1,1,1,1,1,1,NA,NA,NA
"T132","CH","DT",1,1,1,1,1,1,1,1,1
"T132","CH","PR",1,1,1,1,1,1,NA,NA,NA
"T138","BH","RB",1,0,1,1,0,1,NA,NA,NA
"T138","BH","ST",1,0,1,1,0,1,1,1,1
"T138","BH","PM",1,0,1,1,0,1,NA,NA,NA
"T138","BH","DT",1,0,1,1,0,1,1,1,1
"T138","BH","PR",1,0,1,1,0,1,NA,NA,NA
"T139","BH","RB",1,0,1,1,0,1,NA,NA,NA
"T139","BH","ST",1,0,1,1,0,1,0,1,1
"T139","BH","PM",1,0,1,1,0,1,NA,NA,NA
"T139","BH","DT",1,0,1,1,0,1,0,1,1
"T139","BH","PR",1,0,1,1,0,1,NA,NA,NA
"T141","BH","RB",1,0,1,1,0,1,NA,NA,NA
"T141","BH","ST",1,0,1,1,0,1,1,1,1
"T141","BH","PM",1,0,1,1,0,1,NA,NA,NA
"T141","BH","DT",1,0,1,1,0,1,1,1,1
"T141","BH","PR",1,0,1,1,0,1,NA,NA,NA
"T144","BH","RB",1,0,1,1,0,1,NA,NA,NA
"T144","BH","ST",1,0,1,1,0,1,1,1,1
"T144","BH","PM",1,0,1,1,0,1,NA,NA,NA
"T144","BH","DT",1,0,-1,1,0,1,1,1,1
"T144","BH","PR",1,0,1,1,0,1,NA,NA,NA
"T145","BH","RB",1,0,0,0,0,0,NA,NA,NA
"T145","BH","ST",1,0,0,0,0,0,1,1,1
"T145","BH","PM",1,0,0,0,0,0,NA,NA,NA
"T145","BH","DT",1,0,0,0,0,0,1,1,1
"T145","BH","PR",1,0,0,0,0,0,NA,NA,NA
"T151","CL","RB",1,0,1,1,0,1,NA,NA,NA
"T151","CL","ST",1,0,1,1,0,1,1,1,1
"T151","CL","PM",1,0,1,1,0,1,NA,NA,NA
"T151","CL","DT",1,0,1,1,0,1,1,1,1
"T151","CL","PR",1,0,1,1,0,1,NA,NA,NA
"T152","CL","RB",1,0,1,1,0,1,NA,NA,NA
"T152","CL","ST",1,0,1,1,0,1,1,1,1
"T152","CL","PM",1,0,1,1,0,1,NA,NA,NA
"T152","CL","DT",1,0,1,1,0,1,1,1,1
"T152","CL","PR",1,0,1,1,0,1,NA,NA,NA
"T154","CL","RB",1,0,1,1,0,1,NA,NA,NA
"T154","CL","ST",1,0,1,1,0,1,1,1,1
"T154","CL","PM",1,0,1,1,0,1,NA,NA,NA
"T154","CL","DT",1,0,1,1,0,1,1,1,1
"T154","CL","PR",1,0,1,-1,0,-1,NA,NA,NA
"T156","CL","RB",1,0,1,1,0,1,NA,NA,NA
"T156","CL","ST",1,0,1,1,0,1,1,1,1
"T156","CL","PM",1,0,1,1,0,1,NA,NA,NA
"T156","CL","DT",1,0,1,1,0,1,1,1,1
"T156","CL","PR",1,0,1,1,0,1,NA,NA,NA
"T157","CL","RB",1,1,1,1,1,1,NA,NA,NA
"T157","CL","ST",1,1,1,1,1,1,1,1,1
"T157","CL","PM",1,1,1,1,1,1,NA,NA,NA
"T157","CL","DT",1,1,1,1,1,1,1,1,1
"T157","CL","PR",1,1,1,-1,1,-1,NA,NA,NA
"T162","CL","RB",1,1,1,-1,1,0,NA,NA,NA
"T162","CL","ST",1,1,1,-1,1,0,1,1,1
"T162","CL","PM",1,1,1,-1,1,0,NA,NA,NA
"T162","CL","DT",1,1,1,-1,1,0,1,1,1
"T162","CL","PR",1,1,1,-1,1,0,NA,NA,NA
"T166","BL","RB",1,0,1,1,0,1,NA,NA,NA
"T166","BL","ST",1,0,1,1,0,1,1,1,1
"T166","BL","PM",1,0,1,1,0,1,NA,NA,NA
"T166","BL","DT",1,0,1,1,0,1,1,1,1
"T166","BL","PR",1,0,1,1,0,1,NA,NA,NA
"T172","BL","RB",1,0,1,1,0,1,NA,NA,NA
"T172","BL","ST",1,0,1,1,0,1,0,1,1
"T172","BL","PM",1,0,1,1,0,1,NA,NA,NA
"T172","BL","DT",1,0,1,1,0,1,0,1,1
"T172","BL","PR",1,0,1,1,0,1,NA,NA,NA
"T173","BL","RB",1,0,1,1,0,1,NA,NA,NA
"T173","BL","ST",1,0,1,1,0,1,1,1,1
"T173","BL","PM",1,0,1,1,0,1,NA,NA,NA
"T173","BL","DT",1,0,1,1,0,1,1,1,1
"T173","BL","PR",1,0,1,1,0,1,NA,NA,NA
"T174","BL","RB",1,1,1,1,1,1,NA,NA,NA
"T174","BL","ST",1,1,1,1,1,1,1,1,1
"T174","BL","PM",1,1,1,1,1,1,NA,NA,NA
"T174","BL","DT",1,1,1,1,1,1,1,1,1
"T174","BL","PR",1,1,1,1,-1,1,NA,NA,NA
"T175","BL","RB",1,1,1,1,1,1,NA,NA,NA
"T175","BL","ST",1,1,1,1,1,1,1,1,1
"T175","BL","PM",1,1,1,1,1,1,NA,NA,NA
"T175","BL","DT",1,1,1,1,1,1,1,1,1
"T175","BL","PR",1,1,1,1,1,1,NA,NA,NA
"T176","BL","RB",1,1,1,1,1,1,NA,NA,NA
"T176","BL","ST",1,1,1,1,1,1,1,1,1
"T176","BL","PM",1,1,1,1,1,1,NA,NA,NA
"T176","BL","DT",1,1,-1,1,1,1,1,1,1
"T176","BL","PR",1,1,1,1,1,1,NA,NA,NA
"T178","BL","RB",1,1,1,-1,1,0,NA,NA,NA
"T178","BL","ST",1,1,1,-1,1,0,1,1,1
"T178","BL","PM",1,1,1,-1,1,0,NA,NA,NA
"T178","BL","DT",1,1,1,-1,1,0,1,1,1
"T178","BL","PR",1,1,1,-1,1,0,NA,NA,NA
"TOTAL: 63","-----","----",312,167,288,265,205,255,114,126,124
