Time,HR,BR,SkinTemp,Posture,Activity,PeakAccel,BatteryVolts,BatteryLevel,BRAmplitude,BRNoise,BRConfidence,ECGAmplitude,ECGNoise,HRConfidence,HRV,SystemConfidence,GSR,ROGState,ROGTime,VerticalMin,VerticalPeak,LateralMin,LateralPeak,SagittalMin,SagittalPeak,DeviceTemp,StatusInfo,LinkQuality,RSSI,TxPower,CoreTemp,AuxADC1,AuxADC2,AuxADC3
21/06/2018 15:38:50.429,65,8.1,-3276.8,-77,0.11,0.16,4.183,97,4974.000,65535.000,255,0.000000,0.000120,0,65535,0,65535,1,2,-0.24,-0.19,0.86,0.95,0.36,0.40,21.2,531,255,-128,-128,6553.5,413,421,513
21/06/2018 15:38:51.429,65,8.1,-3276.8,-78,0.06,0.09,4.183,97,4472.000,65535.000,255,0.000000,0.000140,0,65535,0,65535,0,0,-0.22,-0.19,0.87,0.93,0.33,0.39,21.2,531,255,-128,-128,6553.5,414,421,513
21/06/2018 15:38:52.429,65,7.3,-3276.8,-78,0.02,0.06,4.183,97,3939.000,65535.000,255,0.000220,0.000140,0,65535,0,65535,0,0,-0.25,-0.20,0.85,0.93,0.36,0.40,21.2,531,255,-128,-128,6553.5,414,420,513
21/06/2018 15:38:53.429,65,7.3,-3276.8,-79,0.07,0.20,4.183,97,3402.000,65535.000,255,0.000220,0.000180,0,65535,0,65535,0,0,-0.25,-0.01,0.85,1.03,0.34,0.40,21.2,531,255,-128,-128,6553.5,415,415,499
21/06/2018 15:38:54.429,65,6.6,-3276.8,-79,0.14,0.44,4.183,97,2961.000,65535.000,255,0.000320,0.000200,0,65535,0,65535,0,0,-0.37,-0.06,0.63,1.12,0.36,0.80,21.2,531,255,-128,-128,6553.5,413,422,514
21/06/2018 15:38:55.429,65,6.6,-3276.8,-76,0.19,0.37,4.183,97,2545.000,65535.000,255,0.000320,0.000160,0,65535,0,65535,0,0,-0.37,-0.06,0.46,0.80,0.54,0.80,21.2,531,255,-128,-128,6553.5,414,420,513
21/06/2018 15:38:56.429,65,6.9,-3276.8,-76,0.34,0.83,4.183,97,2215.000,65535.000,255,0.000320,0.000480,0,65535,0,65535,0,0,-0.80,0.18,0.20,1.30,-0.16,0.96,21.2,531,255,-128,-128,6553.5,413,420,514
21/06/2018 15:38:57.429,0,6.9,-3276.8,-89,0.70,0.83,4.183,97,1904.000,65535.000,255,0.000800,0.000660,0,65535,0,65535,0,0,0.18,0.36,0.78,1.30,-0.40,-0.09,21.2,531,255,-128,-128,6553.5,414,421,514
21/06/2018 15:38:58.429,0,7.3,-3276.8,97,0.37,0.49,4.183,97,1664.000,65535.000,255,0.000800,0.000500,0,65535,0,65535,0,0,0.19,0.33,0.85,1.01,-0.37,-0.19,21.2,531,255,-128,-128,6553.5,414,421,514
21/06/2018 15:38:59.429,0,7.3,-3276.8,93,0.24,0.34,4.183,97,1438.000,65535.000,255,0.000800,0.000720,0,65535,0,65535,0,0,-0.19,0.20,0.86,1.07,-0.51,-0.08,21.2,531,255,-128,-128,6553.5,414,420,513
21/06/2018 15:39:00.429,0,7.6,-3276.8,87,0.17,0.26,4.183,97,1259.000,65535.000,255,0.000800,0.000520,0,65535,0,65535,0,0,-0.21,-0.01,0.91,1.08,-0.37,-0.07,21.2,531,255,-128,-128,6553.5,415,424,493
21/06/2018 15:39:01.429,0,7.6,-3276.8,89,0.11,0.37,4.183,97,1087.000,65535.000,255,0.000800,0.000540,0,65535,0,65535,0,0,-0.14,0.08,0.92,1.19,-0.37,0.13,21.2,531,255,-128,-128,6553.5,414,421,512
21/06/2018 15:39:02.429,0,7.9,-3276.8,-83,0.49,0.80,4.183,97,948.000,65535.000,255,0.000800,0.000500,0,65535,0,65535,0,0,-0.55,0.10,0.50,1.14,0.10,0.73,21.2,531,255,-128,-128,6553.5,413,420,513
21/06/2018 15:39:03.429,0,7.9,-3276.8,-78,0.29,0.54,4.183,97,836.000,65535.000,255,0.000800,0.000320,0,65535,0,65535,0,0,-0.38,-0.19,0.67,0.96,0.20,0.63,21.2,531,255,-128,-128,6553.5,413,420,514
21/06/2018 15:39:04.429,0,8.1,-3276.8,-79,0.31,1.18,4.183,97,732.000,65535.000,255,0.000800,0.001360,0,65535,0,65535,0,0,-0.97,0.16,0.09,2.14,-0.25,0.75,21.2,531,255,-128,-128,6553.5,413,420,513
21/06/2018 15:39:05.429,0,8.1,-3276.8,-64,0.49,2.28,4.183,97,639.000,65535.000,255,0.000800,0.004000,0,65535,0,65535,0,0,-2.33,-0.12,-1.21,1.26,-0.26,0.69,21.2,531,255,-128,-128,6553.5,417,423,518
21/06/2018 15:39:06.429,0,8.3,-3276.8,-57,0.68,1.32,4.183,97,581.000,65535.000,255,0.000800,0.005160,0,65535,0,65535,0,0,-1.55,0.08,-0.30,1.25,-1.13,1.09,21.2,531,255,-128,-128,6553.5,414,421,513
21/06/2018 15:39:07.429,0,8.3,-3276.8,-53,0.56,1.66,4.183,97,529.000,65535.000,255,0.000800,0.004820,0,65535,0,65535,0,0,-1.92,0.34,-0.46,1.86,-0.25,1.39,21.2,531,255,-128,-128,6553.5,413,421,513
21/06/2018 15:39:08.429,0,8.5,-3276.8,-42,0.30,0.45,4.183,97,473.000,65535.000,255,0.000800,0.002920,0,65535,0,65535,0,0,-0.96,-0.79,0.32,0.59,-0.03,0.24,21.2,531,255,-128,-128,6553.5,414,419,513
21/06/2018 15:39:09.429,0,8.5,-3276.8,-35,0.17,0.24,4.183,97,413.000,65535.000,255,0.000800,0.001320,0,65535,0,65535,0,0,-0.96,-0.79,0.43,0.57,0.02,0.12,21.2,531,255,-128,-128,6553.5,414,421,514
21/06/2018 15:39:10.429,0,8.7,-3276.8,-42,0.30,0.95,4.183,97,363.000,65535.000,255,0.000800,0.002820,0,65535,0,65535,0,0,-0.96,0.25,0.38,1.33,-0.15,0.38,21.2,531,255,-128,-128,6553.5,414,421,513
21/06/2018 15:39:11.429,0,8.7,-3276.8,-43,0.24,0.48,4.183,97,320.000,65535.000,255,0.000800,0.004040,0,65535,0,65535,0,0,-0.93,-0.28,0.42,0.98,-0.04,0.55,21.2,528,255,-128,-128,6553.5,414,420,513
21/06/2018 15:39:12.429,67,8.9,-3276.8,-42,0.26,0.48,4.183,97,292.000,65535.000,255,0.000800,0.003700,0,65535,0,65535,0,1,-1.02,-0.34,0.18,1.00,0.07,0.30,21.2,528,255,-128,-128,6553.5,416,421,514
21/06/2018 15:39:13.429,83,8.9,-3276.8,-28,0.34,0.40,4.183,97,264.000,65535.000,255,0.012280,0.002560,0,65535,0,65535,0,2,-1.02,-0.93,0.18,0.28,0.06,0.20,21.4,528,255,-128,-128,6553.5,413,421,513
