SeqNo, Year, Month, Day, ms, EventCode, Type, Source, EventID, EventSpecificData
0,2018,09,07,59775431,192,System,Unknown,0,Unsupported additional data : 00:00:01:FF:00:00:00:00:00:00
0,2018,09,07,59777056,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,09,07,59778056,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Invalid.
0,2018,09,07,59779057,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,09,07,59781056,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Green.
0,2018,09,07,59788459,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,09,07,59789056,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Invalid.
0,2018,09,07,59789384,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,09,07,59790056,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Green.
0,2018,09,07,59790248,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,09,07,59791055,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Invalid.
0,2018,09,07,59791056,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,09,07,59796055,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Green.
0,2018,09,07,59799056,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,09,07,59799199,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,09,07,59799859,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,09,07,59800055,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Invalid.
0,2018,09,07,59801057,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,09,07,59803056,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Green.
0,2018,09,07,59807384,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,09,07,59808057,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Invalid.
0,2018,09,07,59810325,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,09,07,59810457,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,09,07,59814058,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,09,07,59815056,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Green.
0,2018,09,07,59820680,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,09,07,59821056,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Invalid.
0,2018,09,07,59821057,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,09,07,59822056,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Green.
0,2018,09,07,59834324,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,09,07,59835057,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Invalid.
0,2018,09,07,59835058,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,09,07,59836056,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Green.
0,2018,09,07,59837058,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,09,07,59838057,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Invalid.
0,2018,09,07,59839058,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,09,07,59842057,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,09,07,59842272,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,09,07,59843057,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Green.
0,2018,09,07,59844385,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,09,07,59845057,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Invalid.
0,2018,09,07,59913121,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,09,07,59913127,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,09,07,59913178,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,09,07,59913180,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,09,07,59913195,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,09,07,59913202,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,09,07,59913243,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,09,07,59913255,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,09,07,59913696,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,09,07,59913701,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,09,07,59913832,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,09,07,59913834,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,09,07,59913948,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,09,07,59913957,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,09,07,59914662,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,09,07,59914669,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,09,07,59926330,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,09,07,59926538,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,09,07,59926572,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,09,07,59926573,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,09,07,59932704,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,09,07,59933320,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,09,07,59933944,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,09,07,59936056,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Red.
0,2018,09,07,59937413,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,09,07,59938057,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Invalid.
0,2018,09,07,59938289,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,09,07,59942056,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Red.
0,2018,09,07,59943057,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2018,09,07,59947057,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Green.
0,2018,09,07,59947057,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2018,09,07,59948056,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2018,09,07,59998056,4416,Physiological,Unknown,0,Unsupported additional data : 26:00
0,2018,09,07,60301056,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Red.
0,2018,09,07,61457057,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Green.
0,2018,09,07,61761057,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Red.
0,2018,09,07,63275056,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Green.
0,2018,09,07,63577056,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Red.
0,2018,09,07,64595057,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Green.
0,2018,09,07,65097057,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Red.
0,2018,09,07,65340056,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Green.
0,2018,09,07,65526556,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,09,07,65526557,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,09,07,65527057,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,09,07,65527057,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Invalid.
0,2018,09,07,65527057,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2018,09,07,65527058,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,09,07,65527557,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,09,07,65527558,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,09,07,65527807,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,09,07,65527808,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,09,07,65528057,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,09,07,65528058,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,09,07,65528307,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,09,07,65528308,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,09,07,65528853,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,09,07,65553755,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,09,07,65553894,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,09,07,65554021,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,09,07,65554056,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Red.
0,2018,09,07,65554057,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,09,07,65555057,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Invalid.
